genes,AD,ALS,AnorexiaNervosa,BipolarDisorder,MigraineDisorder,MS,PartialEpilepsy,PD,Schizophrenia,UnipolarDepression
SCARB2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SCN1A,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SCN1B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SCN2A,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SCN9A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SDCCAG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SEMA6D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SETD1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SETX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3GL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SHANK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SHISA9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SIGMAR1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIPA1L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SLC1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SLC24A3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SLC24A4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC2A1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SLC2A13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SLC39A8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SLC66A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SNAP91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SNCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SNX19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SOD1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SORCS3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SORL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SOX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SP4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SPATA31D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPATS2L,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SPECC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPG11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPHKAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPPL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SPTAN1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SPTLC1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQSTM1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRPK2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SSBP2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STARD9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STAT3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STAT4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STK24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
STK39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
STRADA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SUGCT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SYN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SYNE1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNJ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SZT2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TAGAP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TARDBP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TBK1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
TENM2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TENM4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
TFAP2B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
THSD7A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TLR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TMEM106B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TMEM161B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TMEM163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMEM175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMEM229B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TNFSF14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TOMM40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TPH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAF3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRANK1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
TRPM8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TSNARE1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
TSPAN2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TUBA4A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBQLN2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBQLN4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UFL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UNC13A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNC5C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP6NL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VAPB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMP1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VPS13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VPS35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VRK2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
WNT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WSCD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WWOX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
XPNPEP1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YAP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YWHAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZCCHC2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZNF365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZNF391,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ZNF438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZNF536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ZNF608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ZNF804A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ZNF823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZPLD1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZSWIM6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
