,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
93,93,ATP2A2,0.0017699115044247,SCZ,ENSG00000174437,Tier 3B,ATP2A2,12,110718561.0,110788898.0,1.0,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:HGNC Symbol;Acc:812]",2.0,1.0,1.0,1.0
94,94,CNTNAP2,0.0017699115044247,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
100,100,CALCA,0.0017078828867227,MigraineDisorder,ENSG00000110680,Tier 1,CALCA,11,14988214.0,14993900.0,-1.0,calcitonin-related polypeptide alpha [Source:HGNC Symbol;Acc:1437],0.0,1.0,1.0,1.0
110,110,PTPRF,0.0015880665231703,AnorexiaNervosa,ENSG00000142949,Tier 2,PTPRF,1,43990858.0,44089343.0,1.0,"protein tyrosine phosphatase, receptor type, F [Source:HGNC Symbol;Acc:9670]",2.0,1.0,1.0,1.0
110,110,PTPRF,0.0015880665231703,BipolarDisorder,ENSG00000142949,Tier 2,PTPRF,1,43990858.0,44089343.0,1.0,"protein tyrosine phosphatase, receptor type, F [Source:HGNC Symbol;Acc:9670]",2.0,1.0,1.0,1.0
110,110,PTPRF,0.0015880665231703,MajorDepressiveDisorder,ENSG00000142949,Tier 2,PTPRF,1,43990858.0,44089343.0,1.0,"protein tyrosine phosphatase, receptor type, F [Source:HGNC Symbol;Acc:9670]",2.0,1.0,1.0,1.0
110,110,PTPRF,0.0015880665231703,OCD,ENSG00000142949,Tier 2,PTPRF,1,43990858.0,44089343.0,1.0,"protein tyrosine phosphatase, receptor type, F [Source:HGNC Symbol;Acc:9670]",2.0,1.0,1.0,1.0
110,110,PTPRF,0.0015880665231703,SCZ,ENSG00000142949,Tier 2,PTPRF,1,43990858.0,44089343.0,1.0,"protein tyrosine phosphatase, receptor type, F [Source:HGNC Symbol;Acc:9670]",2.0,1.0,1.0,1.0
110,110,PTPRF,0.0015880665231703,Tourette,ENSG00000142949,Tier 2,PTPRF,1,43990858.0,44089343.0,1.0,"protein tyrosine phosphatase, receptor type, F [Source:HGNC Symbol;Acc:9670]",2.0,1.0,1.0,1.0
112,112,PLCE1,0.0015845355922552,MigraineDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
113,113,CAMK2D,0.0015771200712427,PD,ENSG00000145349,Tier 1,CAMK2D,4,114372188.0,114683083.0,-1.0,calcium/calmodulin-dependent protein kinase II delta [Source:HGNC Symbol;Acc:1462],1.0,1.0,1.0,1.0
114,114,STK39,0.0015769276390821,PD,ENSG00000198648,Tier 2,STK39,2,168810530.0,169104651.0,-1.0,serine threonine kinase 39 [Source:HGNC Symbol;Acc:17717],2.0,1.0,1.0,1.0
122,122,MAPK3,0.0015085863395152,MS,ENSG00000102882,Tier 1,MAPK3,16,30125426.0,30134827.0,-1.0,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877],1.0,1.0,1.0,1.0
124,124,EFNA5,0.00147130899774,MajorDepressiveDisorder,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,1.0,1.0,1.0
124,124,EFNA5,0.00147130899774,SCZ,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,1.0,1.0,1.0
130,130,PRKCE,0.001428387456761,AD,ENSG00000171132,Tier 1,PRKCE,2,45878484.0,46415129.0,1.0,"protein kinase C, epsilon [Source:HGNC Symbol;Acc:9401]",5.0,1.0,1.0,1.0
134,134,PTPRT,0.0014100650781519,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
136,136,TREM2,0.0013992646347512,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
138,138,CD28,0.0013985288480329,MigraineDisorder,ENSG00000178562,Tier 1,CD28,2,204571198.0,204603635.0,1.0,CD28 molecule [Source:HGNC Symbol;Acc:1653],2.0,1.0,1.0,1.0
138,138,CD28,0.0013985288480329,MS,ENSG00000178562,Tier 1,CD28,2,204571198.0,204603635.0,1.0,CD28 molecule [Source:HGNC Symbol;Acc:1653],2.0,1.0,1.0,1.0
139,139,TNFRSF1A,0.0013969017670206,MS,ENSG00000067182,Tier 1,TNFRSF1A,12,6437923.0,6451280.0,-1.0,"tumor necrosis factor receptor superfamily, member 1A [Source:HGNC Symbol;Acc:11916]",3.0,1.0,1.0,1.0
143,143,IL6R,0.0013848585257931,AD,ENSG00000160712,Tier 1,IL6R,1,154377669.0,154441926.0,1.0,interleukin 6 receptor [Source:HGNC Symbol;Acc:6019],9.0,1.0,1.0,1.0
153,153,TBK1,0.0013535362754775,ALS,ENSG00000183735,Tier 1,TBK1,12,64845660.0,64895888.0,1.0,TANK-binding kinase 1 [Source:HGNC Symbol;Acc:11584],0.0,1.0,1.0,1.0
162,162,LRP8,0.0013472076836887,SCZ,ENSG00000157193,Tier 3A,LRP8,1,53711217.0,53793742.0,-1.0,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor [Source:HGNC Symbol;Acc:6700]",1.0,1.0,1.0,1.0
171,171,PTK2B,0.0013173244122207,AD,ENSG00000120899,Tier 1,PTK2B,8,27168999.0,27316903.0,1.0,protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:9612],1.0,1.0,1.0,1.0
171,171,PTK2B,0.0013173244122207,MigraineDisorder,ENSG00000120899,Tier 1,PTK2B,8,27168999.0,27316903.0,1.0,protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:9612],1.0,1.0,1.0,1.0
175,175,IL12B,0.0013026339480238,MS,ENSG00000113302,Tier 1,IL12B,5,158741791.0,158757895.0,-1.0,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) [Source:HGNC Symbol;Acc:5970]",5.0,1.0,1.0,1.0
175,175,IL12B,0.0013026339480238,RestlessLeg,ENSG00000113302,Tier 1,IL12B,5,158741791.0,158757895.0,-1.0,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) [Source:HGNC Symbol;Acc:5970]",5.0,1.0,1.0,1.0
176,176,EPO,0.0012907365292207,SCZ,ENSG00000130427,Tier 3A,EPO,7,100318423.0,100321323.0,1.0,erythropoietin [Source:HGNC Symbol;Acc:3415],7.0,1.0,1.0,1.0
178,178,CD8A,0.0012893132894858,PSP,ENSG00000153563,Tier 3A,CD8A,2,87011729.0,87035519.0,-1.0,CD8a molecule [Source:HGNC Symbol;Acc:1706],1.0,1.0,1.0,1.0
184,184,IL2,0.0012694067486147,BipolarDisorder,ENSG00000109471,Tier 1,IL2,4,123372625.0,123377880.0,-1.0,interleukin 2 [Source:HGNC Symbol;Acc:6001],9.0,1.0,1.0,1.0
184,184,IL2,0.0012694067486147,MajorDepressiveDisorder,ENSG00000109471,Tier 1,IL2,4,123372625.0,123377880.0,-1.0,interleukin 2 [Source:HGNC Symbol;Acc:6001],9.0,1.0,1.0,1.0
187,187,JAK1,0.0012575637435622,MS,ENSG00000162434,Tier 1,JAK1,1,65298912.0,65432187.0,-1.0,Janus kinase 1 [Source:HGNC Symbol;Acc:6190],0.0,1.0,1.0,1.0
189,189,CHRNA3,0.0012340734995183,AnorexiaNervosa,ENSG00000080644,Tier 1,CHRNA3,15,78885394.0,78913637.0,-1.0,"cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:1957]",28.0,1.0,1.0,1.0
189,189,CHRNA3,0.0012340734995183,BipolarDisorder,ENSG00000080644,Tier 1,CHRNA3,15,78885394.0,78913637.0,-1.0,"cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:1957]",28.0,1.0,1.0,1.0
189,189,CHRNA3,0.0012340734995183,MajorDepressiveDisorder,ENSG00000080644,Tier 1,CHRNA3,15,78885394.0,78913637.0,-1.0,"cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:1957]",28.0,1.0,1.0,1.0
189,189,CHRNA3,0.0012340734995183,OCD,ENSG00000080644,Tier 1,CHRNA3,15,78885394.0,78913637.0,-1.0,"cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:1957]",28.0,1.0,1.0,1.0
189,189,CHRNA3,0.0012340734995183,SCZ,ENSG00000080644,Tier 1,CHRNA3,15,78885394.0,78913637.0,-1.0,"cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:1957]",28.0,1.0,1.0,1.0
189,189,CHRNA3,0.0012340734995183,Tourette,ENSG00000080644,Tier 1,CHRNA3,15,78885394.0,78913637.0,-1.0,"cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:1957]",28.0,1.0,1.0,1.0
209,209,NLGN4X,0.0010574506232275,SCZ,ENSG00000146938,Tier 3B,NLGN4X,X,5758678.0,6146904.0,-1.0,"neuroligin 4, X-linked [Source:HGNC Symbol;Acc:14287]",1.0,1.0,1.0,1.0
212,212,NLGN1,0.0010574506232275,MajorDepressiveDisorder,ENSG00000169760,Tier 3B,NLGN1,3,173114074.0,174004434.0,1.0,neuroligin 1 [Source:HGNC Symbol;Acc:14291],0.0,1.0,1.0,1.0
212,212,NLGN1,0.0010574506232275,MigraineDisorder,ENSG00000169760,Tier 3B,NLGN1,3,173114074.0,174004434.0,1.0,neuroligin 1 [Source:HGNC Symbol;Acc:14291],0.0,1.0,1.0,1.0
212,212,NLGN1,0.0010574506232275,RestlessLeg,ENSG00000169760,Tier 3B,NLGN1,3,173114074.0,174004434.0,1.0,neuroligin 1 [Source:HGNC Symbol;Acc:14291],0.0,1.0,1.0,1.0
214,214,RPH3A,0.0010574506232275,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
214,214,RPH3A,0.0010574506232275,Epilepsy,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
215,215,NXPH1,0.0010574506232275,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
217,217,GRM5,0.0010520659154304,BipolarDisorder,ENSG00000168959,Tier 1,GRM5,11,88237744.0,88799113.0,-1.0,"glutamate receptor, metabotropic 5 [Source:HGNC Symbol;Acc:4597]",10.0,1.0,1.0,1.0
217,217,GRM5,0.0010520659154304,MajorDepressiveDisorder,ENSG00000168959,Tier 1,GRM5,11,88237744.0,88799113.0,-1.0,"glutamate receptor, metabotropic 5 [Source:HGNC Symbol;Acc:4597]",10.0,1.0,1.0,1.0
223,223,PTPRD,0.0010261070051812,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
223,223,PTPRD,0.0010261070051812,RestlessLeg,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
223,223,PTPRD,0.0010261070051812,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
236,236,FZD6,0.0009765030612115,RestlessLeg,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
249,249,CRHR1,0.0009630769074066,MajorDepressiveDisorder,ENSG00000120088,Tier 1,CRHR1,17,43699267.0,43913194.0,1.0,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:2357],18.0,1.0,1.0,1.0
249,249,CRHR1,0.0009630769074066,MigraineDisorder,ENSG00000120088,Tier 1,CRHR1,17,43699267.0,43913194.0,1.0,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:2357],18.0,1.0,1.0,1.0
249,249,CRHR1,0.0009630769074066,PD,ENSG00000120088,Tier 1,CRHR1,17,43699267.0,43913194.0,1.0,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:2357],18.0,1.0,1.0,1.0
249,249,CRHR1,0.0009630769074066,SCZ,ENSG00000120088,Tier 1,CRHR1,17,43699267.0,43913194.0,1.0,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:2357],18.0,1.0,1.0,1.0
251,251,PIK3CG,0.0009630769074066,AD,ENSG00000105851,Tier 1,PIK3CG,7,106505723.0,106547590.0,1.0,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma [Source:HGNC Symbol;Acc:8978]",0.0,1.0,1.0,1.0
261,261,ADCY2,0.0009552597644415,BipolarDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
261,261,ADCY2,0.0009552597644415,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
261,261,ADCY2,0.0009552597644415,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
263,263,PTPRG,0.0009391386896255,MajorDepressiveDisorder,ENSG00000144724,Tier 3A,PTPRG,3,61547243.0,62283288.0,1.0,"protein tyrosine phosphatase, receptor type, G [Source:HGNC Symbol;Acc:9671]",0.0,1.0,1.0,1.0
276,276,GALR1,0.000907645126407,MajorDepressiveDisorder,ENSG00000166573,Tier 3A,GALR1,18,74962505.0,74980858.0,1.0,galanin receptor 1 [Source:HGNC Symbol;Acc:4132],0.0,1.0,1.0,1.0
283,283,LTBR,0.0008920626447231,MS,ENSG00000111321,Tier 1,LTBR,12,6484211.0,6500733.0,1.0,"lymphotoxin beta receptor (TNFR superfamily, member 3) [Source:HGNC Symbol;Acc:6718]",1.0,1.0,1.0,1.0
288,288,PSG7,0.000879922562655,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
290,290,PSG9,0.000879922562655,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
293,293,LILRB2,0.0008755270867028,AD,ENSG00000131042,Tier 3A,LILRB2,19,54777675.0,54785039.0,-1.0,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 [Source:HGNC Symbol;Acc:6606]",3.0,1.0,1.0,1.0
294,294,CHL1,0.0008755270867028,Epilepsy,ENSG00000134121,Tier 3A,CHL1,3,238279.0,451090.0,1.0,cell adhesion molecule L1-like [Source:HGNC Symbol;Acc:1939],0.0,1.0,1.0,1.0
295,295,CEACAM19,0.0008755270867028,MS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
307,307,HBEGF,0.0008718696175088,AD,ENSG00000113070,Tier 1,HBEGF,5,139712428.0,139726216.0,-1.0,heparin-binding EGF-like growth factor [Source:HGNC Symbol;Acc:3059],0.0,1.0,1.0,1.0
315,315,MMP3,0.000866427938772,AD,ENSG00000149968,Tier 1,MMP3,11,102706532.0,102714534.0,-1.0,"matrix metallopeptidase 3 (stromelysin 1, progelatinase) [Source:HGNC Symbol;Acc:7173]",7.0,1.0,1.0,1.0
321,321,IDE,0.000866427938772,ALS,ENSG00000119912,Tier 2,IDE,10,94211441.0,94333833.0,-1.0,insulin-degrading enzyme [Source:HGNC Symbol;Acc:5381],10.0,1.0,1.0,1.0
323,323,JAG1,0.0008550181906362,MajorDepressiveDisorder,ENSG00000101384,Tier 3A,JAG1,20,10618332.0,10654694.0,-1.0,jagged 1 [Source:HGNC Symbol;Acc:6188],1.0,1.0,1.0,1.0
323,323,JAG1,0.0008550181906362,MigraineDisorder,ENSG00000101384,Tier 3A,JAG1,20,10618332.0,10654694.0,-1.0,jagged 1 [Source:HGNC Symbol;Acc:6188],1.0,1.0,1.0,1.0
331,331,BMP8A,0.0008542216878103,MigraineDisorder,ENSG00000183682,Tier 3A,BMP8A,1,39957318.0,39991607.0,1.0,bone morphogenetic protein 8a [Source:HGNC Symbol;Acc:21650],4.0,1.0,1.0,1.0
333,333,TGFB2,0.0008542216878103,MS,ENSG00000092969,Tier 1,TGFB2,1,218519577.0,218617961.0,1.0,"transforming growth factor, beta 2 [Source:HGNC Symbol;Acc:11768]",7.0,1.0,1.0,1.0
334,334,AKT3,0.000850139674199,AnorexiaNervosa,ENSG00000117020,Tier 1,AKT3,1,243651535.0,244014381.0,-1.0,v-akt murine thymoma viral oncogene homolog 3 [Source:HGNC Symbol;Acc:393],1.0,1.0,1.0,1.0
334,334,AKT3,0.000850139674199,SCZ,ENSG00000117020,Tier 1,AKT3,1,243651535.0,244014381.0,-1.0,v-akt murine thymoma viral oncogene homolog 3 [Source:HGNC Symbol;Acc:393],1.0,1.0,1.0,1.0
345,345,APOB,0.0008481002521305,AD,ENSG00000084674,Tier 1,APOB,2,21224301.0,21266945.0,-1.0,apolipoprotein B [Source:HGNC Symbol;Acc:603],36.0,1.0,1.0,1.0
351,351,PLXNA4,0.000843609805886,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
356,356,STAT6,0.0008365693300438,MajorDepressiveDisorder,ENSG00000166888,Tier 2,STAT6,12,57489191.0,57525922.0,-1.0,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]",8.0,1.0,1.0,1.0
356,356,STAT6,0.0008365693300438,MigraineDisorder,ENSG00000166888,Tier 2,STAT6,12,57489191.0,57525922.0,-1.0,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]",8.0,1.0,1.0,1.0
356,356,STAT6,0.0008365693300438,SCZ,ENSG00000166888,Tier 2,STAT6,12,57489191.0,57525922.0,-1.0,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]",8.0,1.0,1.0,1.0
357,357,IL12RB2,0.0008365693300438,Epilepsy,ENSG00000081985,Tier 3B,IL12RB2,1,67773047.0,67862583.0,1.0,"interleukin 12 receptor, beta 2 [Source:HGNC Symbol;Acc:5972]",2.0,1.0,1.0,1.0
372,372,PLCG1,0.0008274462436528,MigraineDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
373,373,PLXNA2,0.0008274462436528,RestlessLeg,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
375,375,TRPC4,0.0008274462436528,SCZ,ENSG00000133107,Tier 3A,TRPC4,13,38210773.0,38444562.0,-1.0,"transient receptor potential cation channel, subfamily C, member 4 [Source:HGNC Symbol;Acc:12336]",0.0,1.0,1.0,1.0
378,378,PTK2,0.0008274462436528,RestlessLeg,ENSG00000169398,Tier 1,PTK2,8,141667999.0,142012315.0,-1.0,protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:9611],0.0,1.0,1.0,1.0
386,386,PRKCQ,0.0008274462436528,AD,ENSG00000065675,Tier 1,PRKCQ,10,6469105.0,6622263.0,-1.0,"protein kinase C, theta [Source:HGNC Symbol;Acc:9410]",1.0,1.0,1.0,1.0
387,387,TXK,0.0008274462436528,MS,ENSG00000074966,Tier 1,TXK,4,48068410.0,48136273.0,-1.0,TXK tyrosine kinase [Source:HGNC Symbol;Acc:12434],0.0,1.0,1.0,1.0
399,399,AATK,0.0008274462436528,MajorDepressiveDisorder,ENSG00000181409,Tier 3A,AATK,17,79091095.0,79139877.0,-1.0,apoptosis-associated tyrosine kinase [Source:HGNC Symbol;Acc:21],0.0,1.0,1.0,1.0
407,407,CNTN1,0.0008274462436528,PD,ENSG00000018236,Tier 3A,CNTN1,12,41086244.0,41466220.0,1.0,contactin 1 [Source:HGNC Symbol;Acc:2171],1.0,1.0,1.0,1.0
414,414,CD5,0.0008274462436528,MS,ENSG00000110448,Tier 1,CD5,11,60869867.0,60895324.0,1.0,CD5 molecule [Source:HGNC Symbol;Acc:1685],0.0,1.0,1.0,1.0
424,424,FCGR2A,0.0008274462436528,PD,ENSG00000143226,Tier 3A,FCGR2A,1,161475220.0,161493803.0,1.0,"Fc fragment of IgG, low affinity IIa, receptor (CD32) [Source:HGNC Symbol;Acc:3616]",6.0,1.0,1.0,1.0
424,424,FCGR2A,0.0008274462436528,SCZ,ENSG00000143226,Tier 3A,FCGR2A,1,161475220.0,161493803.0,1.0,"Fc fragment of IgG, low affinity IIa, receptor (CD32) [Source:HGNC Symbol;Acc:3616]",6.0,1.0,1.0,1.0
426,426,GRM1,0.0008274462436528,SCZ,ENSG00000152822,Tier 1,GRM1,6,146348782.0,146758734.0,1.0,"glutamate receptor, metabotropic 1 [Source:HGNC Symbol;Acc:4593]",0.0,1.0,1.0,1.0
431,431,FCGR2B,0.0008274462436528,PD,ENSG00000072694,Tier 1,FCGR2B,1,161551101.0,161648444.0,1.0,"Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:HGNC Symbol;Acc:3618]",2.0,1.0,1.0,1.0
431,431,FCGR2B,0.0008274462436528,SCZ,ENSG00000072694,Tier 1,FCGR2B,1,161551101.0,161648444.0,1.0,"Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:HGNC Symbol;Acc:3618]",2.0,1.0,1.0,1.0
434,434,EPHA4,0.0008274462436528,RestlessLeg,ENSG00000116106,Tier 1,EPHA4,2,222282747.0,222438922.0,-1.0,EPH receptor A4 [Source:HGNC Symbol;Acc:3388],0.0,1.0,1.0,1.0
435,435,IGF1R,0.0008274462436528,MigraineDisorder,ENSG00000140443,Tier 1,IGF1R,15,99192200.0,99507759.0,1.0,insulin-like growth factor 1 receptor [Source:HGNC Symbol;Acc:5465],4.0,1.0,1.0,1.0
439,439,ERBB3,0.0008274462436528,AnorexiaNervosa,ENSG00000065361,Tier 1,ERBB3,12,56473641.0,56497289.0,1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 [Source:HGNC Symbol;Acc:3431],17.0,1.0,1.0,1.0
445,445,NOX4,0.0008274462436528,AD,ENSG00000086991,Tier 2,NOX4,11,89057524.0,89322779.0,-1.0,NADPH oxidase 4 [Source:HGNC Symbol;Acc:7891],11.0,1.0,1.0,1.0
454,454,NTRK2,0.0008274462436528,MajorDepressiveDisorder,ENSG00000148053,Tier 1,NTRK2,9,87283466.0,87638505.0,1.0,"neurotrophic tyrosine kinase, receptor, type 2 [Source:HGNC Symbol;Acc:8032]",0.0,1.0,1.0,1.0
462,462,MST1R,0.0008274462436528,SCZ,ENSG00000164078,Tier 1,MST1R,3,49924435.0,49941299.0,-1.0,macrophage stimulating 1 receptor (c-met-related tyrosine kinase) [Source:HGNC Symbol;Acc:7381],3.0,1.0,1.0,1.0
469,469,LPP,0.0008274462436528,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
475,475,LRP1,0.0008211415545289,MigraineDisorder,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,1.0,1.0,1.0
478,478,LRP4,0.0008211415545289,MigraineDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
480,480,SCARB1,0.0008211415545289,AD,ENSG00000073060,Tier 2,SCARB1,12,125261402.0,125367214.0,-1.0,"scavenger receptor class B, member 1 [Source:HGNC Symbol;Acc:1664]",6.0,1.0,1.0,1.0
481,481,LDLR,0.0008211415545289,AD,ENSG00000130164,Tier 2,LDLR,19,11200038.0,11244492.0,1.0,low density lipoprotein receptor [Source:HGNC Symbol;Acc:6547],21.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,AD,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,AnorexiaNervosa,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,BipolarDisorder,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,Epilepsy,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,MajorDepressiveDisorder,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,OCD,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,SCZ,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
482,482,VRK2,0.000820175845041,Tourette,ENSG00000028116,Tier 1,VRK2,2,58134786.0,58387055.0,1.0,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2.0,1.0,1.0,1.0
496,496,ITGA1,0.0007915528548235,SCZ,ENSG00000213949,Tier 3A,ITGA1,5,52083730.0,52255040.0,1.0,"integrin, alpha 1 [Source:HGNC Symbol;Acc:6134]",1.0,1.0,1.0,1.0
498,498,ITGA2B,0.0007915528548235,AD,ENSG00000005961,Tier 1,ITGA2B,17,42449548.0,42466873.0,-1.0,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]",1.0,1.0,1.0,1.0
498,498,ITGA2B,0.0007915528548235,PD,ENSG00000005961,Tier 1,ITGA2B,17,42449548.0,42466873.0,-1.0,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]",1.0,1.0,1.0,1.0
506,506,SRPK2,0.0007906973499228,AnorexiaNervosa,ENSG00000135250,Tier 1,SRPK2,7,104751151.0,105039755.0,-1.0,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306],1.0,1.0,1.0,1.0
506,506,SRPK2,0.0007906973499228,BipolarDisorder,ENSG00000135250,Tier 1,SRPK2,7,104751151.0,105039755.0,-1.0,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306],1.0,1.0,1.0,1.0
506,506,SRPK2,0.0007906973499228,MajorDepressiveDisorder,ENSG00000135250,Tier 1,SRPK2,7,104751151.0,105039755.0,-1.0,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306],1.0,1.0,1.0,1.0
506,506,SRPK2,0.0007906973499228,OCD,ENSG00000135250,Tier 1,SRPK2,7,104751151.0,105039755.0,-1.0,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306],1.0,1.0,1.0,1.0
506,506,SRPK2,0.0007906973499228,SCZ,ENSG00000135250,Tier 1,SRPK2,7,104751151.0,105039755.0,-1.0,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306],1.0,1.0,1.0,1.0
506,506,SRPK2,0.0007906973499228,Tourette,ENSG00000135250,Tier 1,SRPK2,7,104751151.0,105039755.0,-1.0,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306],1.0,1.0,1.0,1.0
